bbox,comparison,attribute,freq_nlp,freq_have_bboxes
left lower lung zone,no change,anatomicalfinding|yes|infiltration,135,130
left lower lung zone,no change,anatomicalfinding|yes|linear/patchy atelectasis,1243,1193
left lower lung zone,no change,anatomicalfinding|yes|lobar/segmental collapse,1626,1532
left lower lung zone,no change,anatomicalfinding|yes|lung lesion,484,458
left lower lung zone,no change,anatomicalfinding|yes|lung opacity,19808,18648
left lower lung zone,no change,anatomicalfinding|yes|mass/nodule (not otherwise specified),259,253
left lower lung zone,no change,anatomicalfinding|yes|multiple masses/nodules,139,123
left lower lung zone,no change,anatomicalfinding|yes|pleural effusion,6536,6126
left lower lung zone,no change,anatomicalfinding|yes|pleural/parenchymal scarring,1134,1101
left lower lung zone,no change,anatomicalfinding|yes|pneumothorax,230,219
left lower lung zone,no change,anatomicalfinding|yes|pulmonary edema/hazy opacity,1374,1294
left lower lung zone,no change,anatomicalfinding|yes|vascular congestion,531,506
left lower lung zone,no change,anatomicalfinding|yes|vascular redistribution,65,60
left lower lung zone,no change,disease|yes|alveolar hemorrhage,35,31
left lower lung zone,no change,disease|yes|aspiration,651,602
left lower lung zone,no change,disease|yes|copd/emphysema,162,155
left lower lung zone,no change,disease|yes|fluid overload/heart failure,121,111
left lower lung zone,no change,disease|yes|granulomatous disease,80,80
left lower lung zone,no change,disease|yes|interstitial lung disease,132,125
left lower lung zone,no change,disease|yes|lung cancer,67,63
left lower lung zone,no change,disease|yes|pneumonia,1716,1577
left lower lung zone,no change,nlp|yes|abnormal,19972,18811
left lower lung zone,no change,nlp|yes|normal,265,244
left lower lung zone,no change,technicalassessment|yes|artifact,1,1
left lower lung zone,no change,technicalassessment|yes|breast/nipple shadows,4,4
left lower lung zone,no change,technicalassessment|yes|low lung volumes,312,304
left lower lung zone,no change;;worsened,anatomicalfinding|yes|airspace opacity,57,54
left lower lung zone,no change;;worsened,anatomicalfinding|yes|atelectasis,440,421
left lower lung zone,no change;;worsened,anatomicalfinding|yes|calcified nodule,1,1
left lower lung zone,no change;;worsened,anatomicalfinding|yes|consolidation,191,181
left lower lung zone,no change;;worsened,anatomicalfinding|yes|hydropneumothorax,1,1
left lower lung zone,no change;;worsened,anatomicalfinding|yes|hyperaeration,3,3
left lower lung zone,no change;;worsened,anatomicalfinding|yes|increased reticular markings/ild pattern,3,3
left lower lung zone,no change;;worsened,anatomicalfinding|yes|infiltration,3,3
left lower lung zone,no change;;worsened,anatomicalfinding|yes|linear/patchy atelectasis,30,30
left lower lung zone,no change;;worsened,anatomicalfinding|yes|lobar/segmental collapse,45,42
left lower lung zone,no change;;worsened,anatomicalfinding|yes|lung lesion,9,9
left lower lung zone,no change;;worsened,anatomicalfinding|yes|lung opacity,812,768
left lower lung zone,no change;;worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),3,3
left lower lung zone,no change;;worsened,anatomicalfinding|yes|multiple masses/nodules,4,4
left lower lung zone,no change;;worsened,anatomicalfinding|yes|pleural effusion,240,226
left lower lung zone,no change;;worsened,anatomicalfinding|yes|pleural/parenchymal scarring,21,21
left lower lung zone,no change;;worsened,anatomicalfinding|yes|pneumothorax,5,5
left lower lung zone,no change;;worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,107,105
left lower lung zone,no change;;worsened,anatomicalfinding|yes|vascular congestion,40,40
left lower lung zone,no change;;worsened,disease|yes|alveolar hemorrhage,6,6
left lower lung zone,no change;;worsened,disease|yes|aspiration,69,68
left lower lung zone,no change;;worsened,disease|yes|copd/emphysema,3,3
left lower lung zone,no change;;worsened,disease|yes|fluid overload/heart failure,2,2
left lower lung zone,no change;;worsened,disease|yes|granulomatous disease,1,1
left lower lung zone,no change;;worsened,disease|yes|interstitial lung disease,3,3
left lower lung zone,no change;;worsened,disease|yes|pneumonia,145,137
left lower lung zone,no change;;worsened,nlp|yes|abnormal,813,768
left lower lung zone,no change;;worsened,nlp|yes|normal,2,2
left lower lung zone,no change;;worsened,technicalassessment|yes|low lung volumes,15,13
left lower lung zone,worsened,anatomicalfinding|yes|airspace opacity,667,635
left lower lung zone,worsened,anatomicalfinding|yes|atelectasis,7450,7070
left lower lung zone,worsened,anatomicalfinding|yes|bronchiectasis,38,37
left lower lung zone,worsened,anatomicalfinding|yes|calcified nodule,1,1
left lower lung zone,worsened,anatomicalfinding|yes|consolidation,2321,2196
left lower lung zone,worsened,anatomicalfinding|yes|cyst/bullae,3,2
left lower lung zone,worsened,anatomicalfinding|yes|hydropneumothorax,17,17
left lower lung zone,worsened,anatomicalfinding|yes|hyperaeration,39,34
left lower lung zone,worsened,anatomicalfinding|yes|increased reticular markings/ild pattern,24,24
left lower lung zone,worsened,anatomicalfinding|yes|infiltration,322,312
left lower lung zone,worsened,anatomicalfinding|yes|linear/patchy atelectasis,543,525
left lower lung zone,worsened,anatomicalfinding|yes|lobar/segmental collapse,1012,953
left lower lung zone,worsened,anatomicalfinding|yes|lung lesion,188,177
left lower lung zone,worsened,anatomicalfinding|yes|lung opacity,13627,12937
left lower lung zone,worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),114,106
left lower lung zone,worsened,anatomicalfinding|yes|multiple masses/nodules,69,66
left lower lung zone,worsened,anatomicalfinding|yes|pleural effusion,3777,3580
left lower lung zone,worsened,anatomicalfinding|yes|pleural/parenchymal scarring,105,98
left lower lung zone,worsened,anatomicalfinding|yes|pneumothorax,115,109
left lower lung zone,worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,1659,1573
left lower lung zone,worsened,anatomicalfinding|yes|vascular congestion,473,445
left lower lung zone,worsened,anatomicalfinding|yes|vascular redistribution,51,51
left lower lung zone,worsened,disease|yes|alveolar hemorrhage,95,89
left lower lung zone,worsened,disease|yes|aspiration,1628,1546
left lower lung zone,worsened,disease|yes|copd/emphysema,47,44
left lower lung zone,worsened,disease|yes|fluid overload/heart failure,143,131
left lower lung zone,worsened,disease|yes|granulomatous disease,2,0
left lower lung zone,worsened,disease|yes|interstitial lung disease,40,39
left lower lung zone,worsened,disease|yes|lung cancer,41,41
left lower lung zone,worsened,disease|yes|pneumonia,3223,3082
left lower lung zone,worsened,nlp|yes|abnormal,13811,13103
left lower lung zone,worsened,nlp|yes|normal,57,54
left lower lung zone,worsened,technicalassessment|yes|artifact,7,7
left lower lung zone,worsened,technicalassessment|yes|breast/nipple shadows,4,4
left lower lung zone,worsened,technicalassessment|yes|low lung volumes,408,389
left lung,improved,anatomicalfinding|yes|airspace opacity,931,931
left lung,improved,anatomicalfinding|yes|atelectasis,4185,4185
left lung,improved,anatomicalfinding|yes|bronchiectasis,17,17
left lung,improved,anatomicalfinding|yes|calcified nodule,3,3
left lung,improved,anatomicalfinding|yes|consolidation,1101,1101
left lung,improved,anatomicalfinding|yes|costophrenic angle blunting,81,81
left lung,improved,anatomicalfinding|yes|cyst/bullae,11,11
left lung,improved,anatomicalfinding|yes|hydropneumothorax,52,52
left lung,improved,anatomicalfinding|yes|hyperaeration,50,50
left lung,improved,anatomicalfinding|yes|increased reticular markings/ild pattern,36,36
left lung,improved,anatomicalfinding|yes|infiltration,187,187
left lung,improved,anatomicalfinding|yes|linear/patchy atelectasis,402,402
left lung,improved,anatomicalfinding|yes|lobar/segmental collapse,351,351
left lung,improved,anatomicalfinding|yes|lung lesion,264,263
left lung,improved,anatomicalfinding|yes|lung opacity,14346,14339
left lung,improved,anatomicalfinding|yes|mass/nodule (not otherwise specified),168,167
left lung,improved,anatomicalfinding|yes|multiple masses/nodules,89,89
left lung,improved,anatomicalfinding|yes|pleural effusion,4632,4629
left lung,improved,anatomicalfinding|yes|pleural/parenchymal scarring,252,252
left lung,improved,anatomicalfinding|yes|pneumothorax,703,703
left lung,improved,anatomicalfinding|yes|pulmonary edema/hazy opacity,6047,6043
left lung,improved,anatomicalfinding|yes|vascular congestion,2349,2348
left lung,improved,anatomicalfinding|yes|vascular redistribution,152,152
left lung,improved,disease|yes|alveolar hemorrhage,88,88
left lung,improved,disease|yes|aspiration,296,296
left lung,improved,disease|yes|copd/emphysema,92,92
left lung,improved,disease|yes|fluid overload/heart failure,357,357
left lung,improved,disease|yes|granulomatous disease,5,5
left lung,improved,disease|yes|interstitial lung disease,49,49
left lung,improved,disease|yes|lung cancer,12,12
left lung,improved,disease|yes|pneumonia,1064,1064
left lung,improved,nlp|yes|abnormal,14918,14911
left lung,improved,nlp|yes|normal,1128,1127
left lung,improved,technicalassessment|yes|artifact,3,3
left lung,improved,technicalassessment|yes|low lung volumes,65,65
left lung,improved,technicalassessment|yes|rotated,10,10
left lung,improved;;no change,anatomicalfinding|yes|airspace opacity,137,137
left lung,improved;;no change,anatomicalfinding|yes|atelectasis,656,656
left lung,improved;;no change,anatomicalfinding|yes|bronchiectasis,3,3
left lung,improved;;no change,anatomicalfinding|yes|consolidation,256,256
left lung,improved;;no change,anatomicalfinding|yes|costophrenic angle blunting,8,8
left lung,improved;;no change,anatomicalfinding|yes|cyst/bullae,4,4
left lung,improved;;no change,anatomicalfinding|yes|hydropneumothorax,4,4
left lung,improved;;no change,anatomicalfinding|yes|hyperaeration,7,7
left lung,improved;;no change,anatomicalfinding|yes|increased reticular markings/ild pattern,8,8
left lung,improved;;no change,anatomicalfinding|yes|infiltration,31,31
left lung,improved;;no change,anatomicalfinding|yes|linear/patchy atelectasis,47,47
left lung,improved;;no change,anatomicalfinding|yes|lobar/segmental collapse,65,65
left lung,improved;;no change,anatomicalfinding|yes|lung lesion,29,29
left lung,improved;;no change,anatomicalfinding|yes|lung opacity,1824,1823
left lung,improved;;no change,anatomicalfinding|yes|mass/nodule (not otherwise specified),12,12
left lung,improved;;no change,anatomicalfinding|yes|multiple masses/nodules,15,15
left lung,improved;;no change,anatomicalfinding|yes|pleural effusion,618,617
left lung,improved;;no change,anatomicalfinding|yes|pleural/parenchymal scarring,35,35
left lung,improved;;no change,anatomicalfinding|yes|pneumothorax,51,51
left lung,improved;;no change,anatomicalfinding|yes|pulmonary edema/hazy opacity,738,738
left lung,improved;;no change,anatomicalfinding|yes|vascular congestion,323,323
left lung,improved;;no change,anatomicalfinding|yes|vascular redistribution,13,13
left lung,improved;;no change,disease|yes|alveolar hemorrhage,13,13
left lung,improved;;no change,disease|yes|aspiration,26,26
left lung,improved;;no change,disease|yes|copd/emphysema,11,11
left lung,improved;;no change,disease|yes|fluid overload/heart failure,26,26
left lung,improved;;no change,disease|yes|interstitial lung disease,6,6
left lung,improved;;no change,disease|yes|lung cancer,7,7
left lung,improved;;no change,disease|yes|pneumonia,190,190
left lung,improved;;no change,nlp|yes|abnormal,1871,1870
left lung,improved;;no change,nlp|yes|normal,84,83
left lung,improved;;no change,technicalassessment|yes|low lung volumes,37,37
left lung,improved;;no change,technicalassessment|yes|rotated,1,1
left lung,improved;;no change;;worsened,anatomicalfinding|yes|airspace opacity,4,4
left lung,improved;;no change;;worsened,anatomicalfinding|yes|atelectasis,47,45
left lung,improved;;no change;;worsened,anatomicalfinding|yes|consolidation,20,20
left lung,improved;;no change;;worsened,anatomicalfinding|yes|increased reticular markings/ild pattern,1,1
left lung,improved;;no change;;worsened,anatomicalfinding|yes|infiltration,10,10
left lung,improved;;no change;;worsened,anatomicalfinding|yes|linear/patchy atelectasis,4,4
left lung,improved;;no change;;worsened,anatomicalfinding|yes|lobar/segmental collapse,1,1
left lung,improved;;no change;;worsened,anatomicalfinding|yes|lung lesion,5,5
left lung,improved;;no change;;worsened,anatomicalfinding|yes|lung opacity,128,126
left lung,improved;;no change;;worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),3,3
left lung,improved;;no change;;worsened,anatomicalfinding|yes|multiple masses/nodules,2,2
left lung,improved;;no change;;worsened,anatomicalfinding|yes|pleural effusion,45,43
left lung,improved;;no change;;worsened,anatomicalfinding|yes|pleural/parenchymal scarring,2,2
left lung,improved;;no change;;worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,67,65
left lung,improved;;no change;;worsened,anatomicalfinding|yes|vascular congestion,8,8
left lung,improved;;no change;;worsened,anatomicalfinding|yes|vascular redistribution,1,1
left lung,improved;;no change;;worsened,disease|yes|alveolar hemorrhage,1,1
left lung,improved;;no change;;worsened,disease|yes|aspiration,3,3
left lung,improved;;no change;;worsened,disease|yes|fluid overload/heart failure,2,2
left lung,improved;;no change;;worsened,disease|yes|interstitial lung disease,3,3
left lung,improved;;no change;;worsened,disease|yes|pneumonia,13,13
left lung,improved;;no change;;worsened,nlp|yes|abnormal,129,127
left lung,improved;;no change;;worsened,nlp|yes|normal,1,1
left lung,improved;;worsened,anatomicalfinding|yes|airspace opacity,93,93
left lung,improved;;worsened,anatomicalfinding|yes|atelectasis,476,475
left lung,improved;;worsened,anatomicalfinding|yes|bronchiectasis,1,1
left lung,improved;;worsened,anatomicalfinding|yes|consolidation,231,231
left lung,improved;;worsened,anatomicalfinding|yes|costophrenic angle blunting,1,1
left lung,improved;;worsened,anatomicalfinding|yes|cyst/bullae,3,3
left lung,improved;;worsened,anatomicalfinding|yes|hydropneumothorax,7,7
left lung,improved;;worsened,anatomicalfinding|yes|hyperaeration,75,75
left lung,improved;;worsened,anatomicalfinding|yes|increased reticular markings/ild pattern,1,1
left lung,improved;;worsened,anatomicalfinding|yes|infiltration,54,54
left lung,improved;;worsened,anatomicalfinding|yes|linear/patchy atelectasis,58,58
left lung,improved;;worsened,anatomicalfinding|yes|lobar/segmental collapse,59,59
left lung,improved;;worsened,anatomicalfinding|yes|lung lesion,20,20
left lung,improved;;worsened,anatomicalfinding|yes|lung opacity,1285,1283
left lung,improved;;worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),15,15
left lung,improved;;worsened,anatomicalfinding|yes|multiple masses/nodules,5,5
left lung,improved;;worsened,anatomicalfinding|yes|pleural effusion,422,422
left lung,improved;;worsened,anatomicalfinding|yes|pleural/parenchymal scarring,9,9
left lung,improved;;worsened,anatomicalfinding|yes|pneumothorax,52,52
left lung,improved;;worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,473,472
left lung,improved;;worsened,anatomicalfinding|yes|vascular congestion,102,102
left lung,improved;;worsened,anatomicalfinding|yes|vascular redistribution,13,13
left lung,improved;;worsened,disease|yes|alveolar hemorrhage,16,16
left lung,improved;;worsened,disease|yes|aspiration,64,64
left lung,improved;;worsened,disease|yes|copd/emphysema,1,1
left lung,improved;;worsened,disease|yes|fluid overload/heart failure,14,14
left lung,improved;;worsened,disease|yes|interstitial lung disease,10,10
left lung,improved;;worsened,disease|yes|lung cancer,5,5
left lung,improved;;worsened,disease|yes|pneumonia,182,182
left lung,improved;;worsened,nlp|yes|abnormal,1591,1589
left lung,improved;;worsened,nlp|yes|normal,19,19
left lung,improved;;worsened,technicalassessment|yes|low lung volumes,7,7
left lung,improved;;worsened,technicalassessment|yes|rotated,1,1
left lung,no change,anatomicalfinding|yes|airspace opacity,2010,2009
left lung,no change,anatomicalfinding|yes|atelectasis,15574,15554
left lung,no change,anatomicalfinding|yes|bronchiectasis,218,218
left lung,no change,anatomicalfinding|yes|calcified nodule,548,548
left lung,no change,anatomicalfinding|yes|consolidation,3572,3571
left lung,no change,anatomicalfinding|yes|costophrenic angle blunting,749,747
left lung,no change,anatomicalfinding|yes|cyst/bullae,195,195
left lung,no change,anatomicalfinding|yes|hydropneumothorax,176,176
left lung,no change,anatomicalfinding|yes|hyperaeration,1823,1823
left lung,no change,anatomicalfinding|yes|increased reticular markings/ild pattern,406,406
left lung,no change,anatomicalfinding|yes|infiltration,347,347
left lung,no change,anatomicalfinding|yes|linear/patchy atelectasis,1812,1810
left lung,no change,anatomicalfinding|yes|lobar/segmental collapse,2086,2086
left lung,no change,anatomicalfinding|yes|lung lesion,2436,2434
left lung,no change,anatomicalfinding|yes|lung opacity,39371,39336
left lung,no change,anatomicalfinding|yes|mass/nodule (not otherwise specified),1088,1088
left lung,no change,anatomicalfinding|yes|multiple masses/nodules,805,804
left lung,no change,anatomicalfinding|yes|pleural effusion,17699,17681
left lung,no change,anatomicalfinding|yes|pleural/parenchymal scarring,3519,3517
left lung,no change,anatomicalfinding|yes|pneumothorax,1904,1902
left lung,no change,anatomicalfinding|yes|pulmonary edema/hazy opacity,7233,7229
left lung,no change,anatomicalfinding|yes|vascular congestion,4547,4544
left lung,no change,anatomicalfinding|yes|vascular redistribution,443,443
left lung,no change,disease|yes|alveolar hemorrhage,122,122
left lung,no change,disease|yes|aspiration,649,649
left lung,no change,disease|yes|copd/emphysema,1325,1325
left lung,no change,disease|yes|fluid overload/heart failure,974,973
left lung,no change,disease|yes|granulomatous disease,449,449
left lung,no change,disease|yes|interstitial lung disease,653,652
left lung,no change,disease|yes|lung cancer,382,382
left lung,no change,disease|yes|pneumonia,3001,3000
left lung,no change,nlp|yes|abnormal,43292,43258
left lung,no change,nlp|yes|normal,4558,4557
left lung,no change,technicalassessment|yes|artifact,7,7
left lung,no change,technicalassessment|yes|low lung volumes,1234,1234
left lung,no change,technicalassessment|yes|rotated,51,51
left lung,no change;;worsened,anatomicalfinding|yes|airspace opacity,115,115
left lung,no change;;worsened,anatomicalfinding|yes|atelectasis,485,485
left lung,no change;;worsened,anatomicalfinding|yes|bronchiectasis,3,3
left lung,no change;;worsened,anatomicalfinding|yes|calcified nodule,1,1
left lung,no change;;worsened,anatomicalfinding|yes|consolidation,266,266
left lung,no change;;worsened,anatomicalfinding|yes|costophrenic angle blunting,4,4
left lung,no change;;worsened,anatomicalfinding|yes|cyst/bullae,2,2
left lung,no change;;worsened,anatomicalfinding|yes|hydropneumothorax,2,2
left lung,no change;;worsened,anatomicalfinding|yes|hyperaeration,7,7
left lung,no change;;worsened,anatomicalfinding|yes|increased reticular markings/ild pattern,10,10
left lung,no change;;worsened,anatomicalfinding|yes|infiltration,34,34
left lung,no change;;worsened,anatomicalfinding|yes|linear/patchy atelectasis,37,37
left lung,no change;;worsened,anatomicalfinding|yes|lobar/segmental collapse,50,50
left lung,no change;;worsened,anatomicalfinding|yes|lung lesion,29,29
left lung,no change;;worsened,anatomicalfinding|yes|lung opacity,1407,1407
left lung,no change;;worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),11,11
left lung,no change;;worsened,anatomicalfinding|yes|multiple masses/nodules,14,14
left lung,no change;;worsened,anatomicalfinding|yes|pleural effusion,510,510
left lung,no change;;worsened,anatomicalfinding|yes|pleural/parenchymal scarring,57,57
left lung,no change;;worsened,anatomicalfinding|yes|pneumothorax,45,45
left lung,no change;;worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,546,546
left lung,no change;;worsened,anatomicalfinding|yes|vascular congestion,257,257
left lung,no change;;worsened,anatomicalfinding|yes|vascular redistribution,9,9
left lung,no change;;worsened,disease|yes|alveolar hemorrhage,13,13
left lung,no change;;worsened,disease|yes|aspiration,69,69
left lung,no change;;worsened,disease|yes|copd/emphysema,10,10
left lung,no change;;worsened,disease|yes|fluid overload/heart failure,28,28
left lung,no change;;worsened,disease|yes|granulomatous disease,2,2
left lung,no change;;worsened,disease|yes|interstitial lung disease,22,22
left lung,no change;;worsened,disease|yes|lung cancer,2,2
left lung,no change;;worsened,disease|yes|pneumonia,198,198
left lung,no change;;worsened,nlp|yes|abnormal,1414,1414
left lung,no change;;worsened,nlp|yes|normal,18,18
left lung,no change;;worsened,technicalassessment|yes|low lung volumes,31,31
left lung,no change;;worsened,technicalassessment|yes|rotated,1,1
left lung,worsened,anatomicalfinding|yes|airspace opacity,1536,1535
left lung,worsened,anatomicalfinding|yes|atelectasis,8637,8631
left lung,worsened,anatomicalfinding|yes|bronchiectasis,67,67
left lung,worsened,anatomicalfinding|yes|calcified nodule,3,3
left lung,worsened,anatomicalfinding|yes|consolidation,3068,3065
left lung,worsened,anatomicalfinding|yes|costophrenic angle blunting,234,234
left lung,worsened,anatomicalfinding|yes|cyst/bullae,15,15
left lung,worsened,anatomicalfinding|yes|hydropneumothorax,57,57
left lung,worsened,anatomicalfinding|yes|hyperaeration,223,222
left lung,worsened,anatomicalfinding|yes|increased reticular markings/ild pattern,88,88
left lung,worsened,anatomicalfinding|yes|infiltration,577,576
left lung,worsened,anatomicalfinding|yes|linear/patchy atelectasis,666,665
left lung,worsened,anatomicalfinding|yes|lobar/segmental collapse,1238,1238
left lung,worsened,anatomicalfinding|yes|lung lesion,547,547
left lung,worsened,anatomicalfinding|yes|lung opacity,24491,24472
left lung,worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),319,319
left lung,worsened,anatomicalfinding|yes|multiple masses/nodules,204,204
left lung,worsened,anatomicalfinding|yes|pleural effusion,9442,9435
left lung,worsened,anatomicalfinding|yes|pleural/parenchymal scarring,321,321
left lung,worsened,anatomicalfinding|yes|pneumothorax,704,704
left lung,worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,8443,8433
left lung,worsened,anatomicalfinding|yes|vascular congestion,3299,3295
left lung,worsened,anatomicalfinding|yes|vascular redistribution,296,296
left lung,worsened,disease|yes|alveolar hemorrhage,252,252
left lung,worsened,disease|yes|aspiration,1628,1628
left lung,worsened,disease|yes|copd/emphysema,205,205
left lung,worsened,disease|yes|fluid overload/heart failure,1099,1097
left lung,worsened,disease|yes|granulomatous disease,3,3
left lung,worsened,disease|yes|interstitial lung disease,158,158
left lung,worsened,disease|yes|lung cancer,155,155
left lung,worsened,disease|yes|pneumonia,4868,4866
left lung,worsened,nlp|yes|abnormal,25324,25304
left lung,worsened,nlp|yes|normal,268,268
left lung,worsened,technicalassessment|yes|artifact,20,20
left lung,worsened,technicalassessment|yes|low lung volumes,730,729
left lung,worsened,technicalassessment|yes|rotated,93,93
left mid lung zone,improved,anatomicalfinding|yes|airspace opacity,97,88
left mid lung zone,improved,anatomicalfinding|yes|atelectasis,1103,1031
left mid lung zone,improved,anatomicalfinding|yes|bronchiectasis,5,5
left mid lung zone,improved,anatomicalfinding|yes|consolidation,410,380
left mid lung zone,improved,anatomicalfinding|yes|cyst/bullae,5,5
left mid lung zone,improved,anatomicalfinding|yes|hydropneumothorax,4,4
left mid lung zone,improved,anatomicalfinding|yes|hyperaeration,7,7
left mid lung zone,improved,anatomicalfinding|yes|infiltration,30,26
left mid lung zone,improved,anatomicalfinding|yes|linear/patchy atelectasis,66,64
left mid lung zone,improved,anatomicalfinding|yes|lobar/segmental collapse,244,221
left mid lung zone,improved,anatomicalfinding|yes|lung lesion,79,75
left mid lung zone,improved,anatomicalfinding|yes|lung opacity,2419,2253
left mid lung zone,improved,anatomicalfinding|yes|mass/nodule (not otherwise specified),51,48
left mid lung zone,improved,anatomicalfinding|yes|multiple masses/nodules,26,25
left mid lung zone,improved,anatomicalfinding|yes|pleural effusion,338,313
left mid lung zone,improved,anatomicalfinding|yes|pleural/parenchymal scarring,48,47
left mid lung zone,improved,anatomicalfinding|yes|pneumothorax,14,14
left mid lung zone,improved,anatomicalfinding|yes|pulmonary edema/hazy opacity,369,345
left mid lung zone,improved,anatomicalfinding|yes|vascular congestion,56,52
left mid lung zone,improved,anatomicalfinding|yes|vascular redistribution,12,10
left mid lung zone,improved,disease|yes|alveolar hemorrhage,26,26
left mid lung zone,improved,disease|yes|aspiration,59,54
left mid lung zone,improved,disease|yes|copd/emphysema,14,13
left mid lung zone,improved,disease|yes|fluid overload/heart failure,10,9
left mid lung zone,improved,disease|yes|granulomatous disease,1,1
left mid lung zone,improved,disease|yes|interstitial lung disease,5,5
left mid lung zone,improved,disease|yes|lung cancer,1,1
left mid lung zone,improved,disease|yes|pneumonia,283,271
left mid lung zone,improved,nlp|yes|abnormal,2432,2265
left mid lung zone,improved,nlp|yes|normal,160,158
left mid lung zone,improved,technicalassessment|yes|low lung volumes,8,8
left mid lung zone,improved;;no change,anatomicalfinding|yes|airspace opacity,20,20
left mid lung zone,improved;;no change,anatomicalfinding|yes|atelectasis,218,187
left mid lung zone,improved;;no change,anatomicalfinding|yes|bronchiectasis,1,1
left mid lung zone,improved;;no change,anatomicalfinding|yes|consolidation,110,102
left mid lung zone,improved;;no change,anatomicalfinding|yes|hyperaeration,3,3
left mid lung zone,improved;;no change,anatomicalfinding|yes|increased reticular markings/ild pattern,2,2
left mid lung zone,improved;;no change,anatomicalfinding|yes|infiltration,8,8
left mid lung zone,improved;;no change,anatomicalfinding|yes|linear/patchy atelectasis,16,12
left mid lung zone,improved;;no change,anatomicalfinding|yes|lobar/segmental collapse,51,46
left mid lung zone,improved;;no change,anatomicalfinding|yes|lung lesion,10,8
left mid lung zone,improved;;no change,anatomicalfinding|yes|lung opacity,478,438
left mid lung zone,improved;;no change,anatomicalfinding|yes|mass/nodule (not otherwise specified),4,4
left mid lung zone,improved;;no change,anatomicalfinding|yes|multiple masses/nodules,5,3
left mid lung zone,improved;;no change,anatomicalfinding|yes|pleural effusion,127,115
left mid lung zone,improved;;no change,anatomicalfinding|yes|pleural/parenchymal scarring,4,4
left mid lung zone,improved;;no change,anatomicalfinding|yes|pneumothorax,1,0
left mid lung zone,improved;;no change,anatomicalfinding|yes|pulmonary edema/hazy opacity,80,74
left mid lung zone,improved;;no change,anatomicalfinding|yes|vascular congestion,15,15
left mid lung zone,improved;;no change,anatomicalfinding|yes|vascular redistribution,1,1
left mid lung zone,improved;;no change,disease|yes|alveolar hemorrhage,3,2
left mid lung zone,improved;;no change,disease|yes|aspiration,12,10
left mid lung zone,improved;;no change,disease|yes|copd/emphysema,3,3
left mid lung zone,improved;;no change,disease|yes|interstitial lung disease,1,1
left mid lung zone,improved;;no change,disease|yes|pneumonia,69,65
left mid lung zone,improved;;no change,nlp|yes|abnormal,476,436
left mid lung zone,improved;;no change,nlp|yes|normal,5,5
left mid lung zone,improved;;no change,technicalassessment|yes|low lung volumes,1,1
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|airspace opacity,1,0
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|atelectasis,21,16
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|consolidation,13,12
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|infiltration,1,1
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|linear/patchy atelectasis,2,2
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|lobar/segmental collapse,1,0
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|lung lesion,4,4
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|lung opacity,51,46
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|mass/nodule (not otherwise specified),2,2
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|multiple masses/nodules,2,2
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|pleural effusion,19,15
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|pulmonary edema/hazy opacity,20,16
left mid lung zone,improved;;no change;;worsened,anatomicalfinding|yes|vascular congestion,2,2
left mid lung zone,improved;;no change;;worsened,disease|yes|alveolar hemorrhage,1,1
left mid lung zone,improved;;no change;;worsened,disease|yes|aspiration,1,1
left mid lung zone,improved;;no change;;worsened,disease|yes|pneumonia,8,8
left mid lung zone,improved;;no change;;worsened,nlp|yes|abnormal,51,46
left mid lung zone,improved;;worsened,anatomicalfinding|yes|airspace opacity,20,19
left mid lung zone,improved;;worsened,anatomicalfinding|yes|atelectasis,177,163
left mid lung zone,improved;;worsened,anatomicalfinding|yes|bronchiectasis,1,1
left mid lung zone,improved;;worsened,anatomicalfinding|yes|consolidation,121,111
left mid lung zone,improved;;worsened,anatomicalfinding|yes|cyst/bullae,1,1
left mid lung zone,improved;;worsened,anatomicalfinding|yes|hydropneumothorax,1,1
left mid lung zone,improved;;worsened,anatomicalfinding|yes|hyperaeration,5,5
left mid lung zone,improved;;worsened,anatomicalfinding|yes|infiltration,15,15
